rk,player,age,team,pos,g,gs,mp,fg,fga,fg_percent,3p,3pa,3p_percent,2p,2pa,2p_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,awards,year,player_id
198.0,Dario Å ariÄ,25.0,PHO,PF,66.0,51.0,1632.0,5.6,11.9,0.476,1.9,5.2,0.357,3.8,6.7,0.568,0.554,2.4,2.8,0.844,2.2,6.8,9.0,2.7,0.8,0.4,1.9,3.4,15.5,,2020,saricda01
199.0,Kadeem Allen,27.0,NYK,PG,10.0,0.0,117.0,5.8,13.5,0.432,1.5,4.9,0.313,4.3,8.6,0.5,0.489,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4,,2020,allenka01
200.0,TimothÃ© Luwawu-Cabarrot,24.0,BRK,SF,47.0,2.0,853.0,4.9,11.4,0.435,2.6,6.8,0.388,2.3,4.6,0.505,0.55,2.9,3.4,0.852,1.2,4.1,5.4,1.2,0.8,0.3,1.6,4.5,15.4,,2020,luwawti01
201.0,Dejounte Murray,23.0,SAS,PG,66.0,58.0,1687.0,6.3,13.6,0.462,0.9,2.4,0.369,5.4,11.2,0.481,0.494,1.9,2.4,0.798,1.5,6.7,8.2,5.8,2.4,0.4,2.7,3.1,15.4,,2020,murrade01
202.0,Kevin Porter Jr.,19.0,CLE,SF,50.0,3.0,1162.0,5.8,13.0,0.442,1.6,4.9,0.335,4.1,8.1,0.506,0.505,2.3,3.1,0.723,0.7,4.3,5.0,3.4,1.4,0.4,2.9,4.2,15.4,,2020,porteke02
203.0,Tyler Cook,22.0,2TM,PF,13.0,0.0,54.0,5.3,8.0,0.667,0.0,0.0,0.0,5.3,8.0,0.667,0.667,4.7,5.3,0.875,4.0,5.3,9.3,0.7,2.0,0.0,2.0,3.3,15.3,,2020,cookty01
203.0,Tyler Cook,22.0,CLE,PF,11.0,0.0,35.0,7.2,10.3,0.7,0.0,0.0,0.0,7.2,10.3,0.7,0.7,5.1,6.2,0.833,4.1,6.2,10.3,1.0,1.0,0.0,1.0,4.1,19.5,,2020,cookty01
203.0,Tyler Cook,22.0,DEN,SF,2.0,0.0,19.0,1.9,3.8,0.5,0.0,0.0,0.0,1.9,3.8,0.5,0.5,3.8,3.8,1.0,3.8,3.8,7.6,0.0,3.8,0.0,3.8,1.9,7.6,,2020,cookty01
204.0,Thanasis Antetokounmpo,27.0,MIL,SF,20.0,2.0,129.0,6.7,13.4,0.5,0.0,2.8,0.0,6.7,10.6,0.632,0.5,2.0,4.7,0.412,3.3,3.3,6.7,4.2,2.0,0.6,3.3,5.0,15.3,,2020,antetth01
205.0,Clint Capela,25.0,HOU,C,39.0,39.0,1279.0,6.9,10.9,0.629,0.0,0.0,0.0,6.9,10.9,0.629,0.629,1.5,2.9,0.529,4.7,10.4,15.1,1.4,0.9,2.0,1.8,2.9,15.3,,2020,capelca01
206.0,Georges Niang,26.0,UTA,PF,66.0,1.0,923.0,5.5,12.6,0.438,3.5,8.8,0.4,2.0,3.8,0.526,0.578,0.8,0.9,0.833,0.6,4.4,5.0,1.7,0.7,0.2,1.2,2.9,15.3,,2020,niangge01
207.0,Alen SmailagiÄ,19.0,GSW,C,14.0,0.0,139.0,5.2,10.4,0.5,0.8,3.4,0.231,4.4,7.0,0.63,0.538,4.1,4.9,0.842,2.6,4.4,7.0,3.4,0.8,1.0,2.8,3.6,15.3,,2020,smailal01
208.0,Gorgui Dieng,30.0,2TM,C,63.0,17.0,1096.0,5.5,12.0,0.456,1.8,5.0,0.355,3.7,7.0,0.528,0.53,2.6,3.3,0.772,3.0,8.6,11.6,2.4,1.7,1.9,2.0,4.1,15.2,,2020,dienggo01
208.0,Gorgui Dieng,30.0,MIN,C,46.0,17.0,778.0,5.7,12.8,0.448,2.1,5.6,0.383,3.6,7.3,0.497,0.531,2.2,2.7,0.797,3.4,8.5,11.8,2.7,1.7,1.9,2.0,4.1,15.8,,2020,dienggo01
208.0,Gorgui Dieng,30.0,MEM,C,17.0,0.0,318.0,4.8,9.8,0.483,0.9,3.6,0.25,3.8,6.2,0.618,0.529,3.5,4.8,0.738,2.0,9.1,11.1,1.7,1.6,1.9,1.8,4.0,13.9,,2020,dienggo01
209.0,D.J. Augustin,32.0,ORL,PG,57.0,13.0,1420.0,4.7,11.7,0.399,1.8,5.1,0.348,2.9,6.6,0.438,0.475,4.1,4.6,0.89,0.6,2.5,3.1,6.6,0.9,0.0,2.2,1.8,15.2,,2020,augusdj01
210.0,Harrison Barnes,27.0,SAC,PF,72.0,72.0,2482.0,5.3,11.5,0.46,1.5,3.9,0.381,3.8,7.6,0.501,0.525,3.1,3.9,0.801,1.1,4.0,5.1,2.3,0.6,0.2,1.3,1.3,15.2,,2020,barneha02
211.0,Miles Bridges,21.0,CHO,SF,65.0,64.0,1995.0,5.8,13.6,0.424,1.8,5.4,0.33,4.0,8.2,0.486,0.489,1.9,2.4,0.809,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2,,2020,bridgmi02
212.0,Kelly Olynyk,28.0,MIA,C,67.0,9.0,1300.0,5.1,11.0,0.462,2.6,6.5,0.406,2.5,4.5,0.543,0.582,2.4,2.8,0.86,1.2,7.2,8.4,3.2,1.2,0.6,2.0,4.8,15.2,,2020,olynyke01
213.0,Justin Wright-Foreman,22.0,UTA,PG,4.0,0.0,45.0,5.6,16.0,0.35,1.6,8.0,0.2,4.0,8.0,0.5,0.4,2.4,3.2,0.75,0.0,4.0,4.0,5.6,1.6,0.0,2.4,4.0,15.2,,2020,wrighju02
214.0,Jarrett Allen,21.0,BRK,C,70.0,64.0,1852.0,5.9,9.0,0.649,0.0,0.1,0.0,5.9,8.9,0.658,0.649,3.3,5.2,0.633,4.2,8.8,13.0,2.1,0.8,1.8,1.5,3.1,15.1,DPOY-12,2020,allenja01
215.0,Talen Horton-Tucker,19.0,LAL,SG,6.0,1.0,81.0,6.2,13.3,0.467,1.8,5.8,0.308,4.4,7.6,0.588,0.533,0.9,1.8,0.5,0.9,2.2,3.1,2.7,3.6,0.4,2.7,4.4,15.1,,2020,hortota01
216.0,Ersan Ä°lyasova,32.0,MIL,PF,63.0,8.0,986.0,5.3,11.4,0.466,1.8,5.0,0.365,3.5,6.4,0.545,0.546,2.6,3.2,0.828,2.3,8.8,11.0,1.8,0.9,0.6,1.2,3.5,15.1,,2020,ilyaser01
217.0,Ricky Rubio,29.0,PHO,PG,65.0,65.0,2016.0,5.1,12.4,0.415,1.4,3.9,0.361,3.7,8.5,0.439,0.471,3.5,4.0,0.863,0.8,4.6,5.4,10.2,1.7,0.2,3.1,3.0,15.1,,2020,rubiori01
218.0,Jake Layman,25.0,MIN,SF,23.0,2.0,505.0,5.8,12.8,0.453,1.7,5.1,0.333,4.1,7.6,0.533,0.52,1.7,2.3,0.75,1.2,2.9,4.1,1.1,1.2,0.7,1.7,3.4,15.0,,2020,laymaja01
219.0,Taurean Prince,25.0,BRK,PF,64.0,61.0,1857.0,5.4,14.3,0.376,2.8,8.4,0.339,2.6,6.0,0.429,0.475,1.4,1.7,0.798,1.0,6.4,7.4,2.2,1.1,0.5,2.5,3.1,15.0,,2020,princta02
220.0,Mitchell Robinson,21.0,NYK,C,61.0,7.0,1412.0,6.5,8.7,0.742,0.0,0.0,0.0,6.5,8.7,0.742,0.742,2.1,3.8,0.568,4.7,6.2,10.9,0.9,1.3,3.0,0.9,4.9,15.0,,2020,robinmi01
